mt,product_index,incident_energy_mev,emitted_energy_mev,pdf_per_mev
5,1,45.0,17.11035,0.01511662
5,1,45.0,17.59234,0.01498541
5,1,45.0,18.07432,0.01485011
5,1,45.0,18.5563,0.014658299999999999
5,1,45.0,19.03828,0.014454459999999999
5,1,45.0,19.76126,0.01407573
5,1,45.0,20.72522,0.01363854
5,1,45.0,21.68918,0.01316641
5,1,45.0,22.65314,0.012599929999999999
5,1,45.0,23.61711,0.01194157
5,1,45.0,24.58107,0.011278469999999999
5,1,45.0,25.54504,0.010649829999999999
5,1,45.0,26.509,0.01013285
5,1,45.0,27.47296,0.009775777
5,1,45.0,28.43693,0.009731481
5,1,45.0,29.40089,0.009955335
5,1,45.0,30.36485,0.01012954
5,1,45.0,31.32882,0.01125315
5,1,45.0,32.29278,0.0121772
5,1,45.0,33.25674,0.012291990000000001
5,1,45.0,34.22071,0.0070132729999999996
5,1,45.0,34.94368,0.0061383159999999996
5,1,45.0,35.42566,0.005592977
5,1,45.0,35.90765,0.0035319039999999998
5,1,45.0,36.38962,0.001133187
5,1,45.0,36.87161,0.001161624
5,1,45.0,37.35359,0.002209131
5,1,45.0,37.83557,0.007478545
5,1,45.0,38.31756,0.02302107
5,1,45.0,38.79954,0.03493698
5,1,45.0,39.28152,0.02572948
5,1,45.0,39.7635,0.011048939999999998
5,1,45.0,40.24548,0.002211647
5,1,45.0,40.72746,0.00016931999999999998
5,1,45.0,41.20944,1.04871e-05
5,1,45.0,41.69142,1.25286e-06
5,1,45.0,41.81475,0.0
5,1,50.0,0.0,6.8838e-06
5,1,50.0,0.1445945,1.16205e-05
5,1,50.0,0.2409909,0.000229664
5,1,50.0,0.3373873,0.002163703
5,1,50.0,0.4337836,0.00992771
5,1,50.0,0.53018,0.015210809999999998
5,1,50.0,0.6265764,0.01960935
5,1,50.0,0.7229728000000001,0.02421638
5,1,50.0,0.8193691,0.02867524
5,1,50.0,0.9157654000000001,0.03215523
5,1,50.0,1.012162,0.035044099999999995
5,1,50.0,1.108558,0.037960640000000004
5,1,50.0,1.204954,0.04136355
5,1,50.0,1.301351,0.04492657
5,1,50.0,1.397747,0.04888528
5,1,50.0,1.494144,0.05332734
5,1,50.0,1.59054,0.05799778
5,1,50.0,1.686936,0.06290635
5,1,50.0,1.783333,0.06766529
5,1,50.0,1.879729,0.07307187999999999
5,1,50.0,2.024324,0.08221055000000001
5,1,50.0,2.217116,0.09059964
5,1,50.0,2.409909,0.0991674
5,1,50.0,2.602702,0.1033513
5,1,50.0,2.795494,0.1062395
5,1,50.0,2.988288,0.1077083
5,1,50.0,3.181081,0.10744150000000001
5,1,50.0,3.373874,0.1061668
5,1,50.0,3.566666,0.10417720000000001
5,1,50.0,3.759459,0.1011314
5,1,50.0,4.096846,0.09171106
5,1,50.0,4.578828,0.08150186000000001
5,1,50.0,5.060809,0.0715133
5,1,50.0,5.542791,0.06340361
5,1,50.0,6.024772,0.056194320000000006
5,1,50.0,6.506754,0.05014342
5,1,50.0,6.988736,0.044761659999999995
5,1,50.0,7.470718,0.04014759
5,1,50.0,7.9527,0.036058059999999996
5,1,50.0,8.434682,0.03249447
5,1,50.0,8.916663,0.029418660000000003
5,1,50.0,9.398645,0.02676793
5,1,50.0,9.880628,0.02452583
5,1,50.0,10.36261,0.02259181
5,1,50.0,10.84459,0.02097227
5,1,50.0,11.32657,0.01962858
5,1,50.0,11.80856,0.01849954
5,1,50.0,12.29054,0.01757444
5,1,50.0,12.77252,0.01681879
5,1,50.0,13.2545,0.0161548
5,1,50.0,13.73648,0.015632740000000003
5,1,50.0,14.21846,0.015159470000000001
5,1,50.0,14.70044,0.01478091
5,1,50.0,15.18243,0.01445943
5,1,50.0,15.66441,0.014160939999999999
5,1,50.0,16.14639,0.01392232
5,1,50.0,16.62837,0.01371946
5,1,50.0,17.11035,0.01353942
5,1,50.0,17.59234,0.01339903
5,1,50.0,18.07432,0.01326078
5,1,50.0,18.5563,0.01312066
5,1,50.0,19.03828,0.01298759
5,1,50.0,19.76126,0.012827719999999999
5,1,50.0,20.72522,0.01271935
5,1,50.0,21.68918,0.01265063
5,1,50.0,22.65314,0.01255233
5,1,50.0,23.61711,0.01235366
5,1,50.0,24.58107,0.01209376
5,1,50.0,25.54504,0.011762719999999999
5,1,50.0,26.509,0.011355500000000001
5,1,50.0,27.47296,0.01080696
5,1,50.0,28.43693,0.01018895
5,1,50.0,29.40089,0.009558715
5,1,50.0,30.36485,0.008974049000000001
5,1,50.0,31.32882,0.008519007
5,1,50.0,32.29278,0.008266305
5,1,50.0,33.25674,0.008355133
5,1,50.0,34.22071,0.008683175
5,1,50.0,35.18467,0.008894275
5,1,50.0,36.14864,0.011070690000000001
5,1,50.0,37.1126,0.01002191
5,1,50.0,38.07656,0.009585097
5,1,50.0,38.79954,0.008083465
5,1,50.0,39.28152,0.006640039
5,1,50.0,39.7635,0.005512751000000001
5,1,50.0,40.24548,0.004474252
5,1,50.0,40.72746,0.003631948
5,1,50.0,41.20944,0.002628505
5,1,50.0,41.69142,0.002111271
5,1,50.0,42.17341,0.00309102
5,1,50.0,42.65539,0.01109146
5,1,50.0,43.13737,0.02682792
5,1,50.0,43.61936,0.03019512
5,1,50.0,44.10134,0.01818314
5,1,50.0,44.58332,0.00615731
5,1,50.0,45.0653,0.0008800430000000001
5,1,50.0,45.54728,5.3360400000000005e-05
5,1,50.0,46.02926,4.25468e-06
5,1,50.0,46.46083,0.0
5,1,55.0,0.0,9.31116e-06
5,1,55.0,0.1445945,3.65448e-05
5,1,55.0,0.2409909,7.89243e-05
5,1,55.0,0.3373873,0.003523376
5,1,55.0,0.4337836,0.009000644
5,1,55.0,0.53018,0.015253189999999998
5,1,55.0,0.6265764,0.019367699999999998
5,1,55.0,0.7229728000000001,0.023015209999999998
5,1,55.0,0.8193691,0.02693377
5,1,55.0,0.9157654000000001,0.030135140000000005
5,1,55.0,1.012162,0.033498940000000005
5,1,55.0,1.108558,0.03630093
5,1,55.0,1.204954,0.03980317
5,1,55.0,1.301351,0.04325405
5,1,55.0,1.397747,0.04675159
5,1,55.0,1.494144,0.050856689999999996
5,1,55.0,1.59054,0.05552642
5,1,55.0,1.686936,0.06017572
5,1,55.0,1.783333,0.06475862
5,1,55.0,1.879729,0.06996726
5,1,55.0,2.024324,0.07884258
5,1,55.0,2.217116,0.0873616
5,1,55.0,2.409909,0.09635146
5,1,55.0,2.602702,0.1008621
5,1,55.0,2.795494,0.10341579999999999
5,1,55.0,2.988288,0.1048125
5,1,55.0,3.181081,0.105073
5,1,55.0,3.373874,0.10355779999999999
